Einstellung;Wert
Exportzeitpunkt;2025-12-04T14:08:06.364Z
Simulationstyp;Monte-Carlo
Anzahl Simulationen;1000
Volatilität p.a.;15%

=== EINGABEPARAMETER ===;
start_savings;4000
start_etf;100
monthly_savings;100
monthly_etf;150
savings_rate_pa;3
etf_rate_pa;7
etf_ter_pa;0.19
savings_target;5000
annual_raise_percent;3
savings_years;36
withdrawal_years;30
monthly_payout_net;
monthly_payout_percent;4
withdrawal_min;0
withdrawal_max;0
inflation_adjust_withdrawal;true
special_payout_net_savings;15000
special_interval_years_savings;10
inflation_adjust_special_savings;true
special_payout_net_withdrawal;15000
special_interval_years_withdrawal;10
inflation_adjust_special_withdrawal;true
inflation_rate_pa;2
sparerpauschbetrag;1000
kirchensteuer;keine
basiszins;2.53
rent_mode;percent
capital_preservation_enabled;true
capital_preservation_threshold;80
capital_preservation_reduction;25
capital_preservation_recovery;10

=== ZUSAMMENFASSUNG ===;
Erfolgswahrscheinlichkeit;75.4%
Kapitalerhalt-Rate;51.1%
Pleite-Risiko;25.6%

Endvermögen (Median);531587.41
Endvermögen (10%-Perzentil);0.00
Endvermögen (90%-Perzentil);4161947.63
Endvermögen (5%-Perzentil, Worst);0.00
Endvermögen (95%-Perzentil, Best);7558646.39
Endvermögen (Durchschnitt);1722794.37

Endvermögen real (Median);143867.72
Endvermögen real (10%-90%);0.00 - 1126380.89
Vermögen bei Rentenbeginn (Median);448441.08

=== SEQUENCE-OF-RETURNS RISK ===;
SoRR-Spreizung;696.1%
Früher Crash-Effekt;-84.7%
Früher Boom-Effekt;+154.7%
Korrelation frühe Rendite <-> Endvermögen;38.9%
Endvermögen (schlechte Sequenz);243385.58
Endvermögen (gute Sequenz);4048410.28
Kritisches Fenster;Jahr 1-10

=== PERZENTILE PRO MONAT ===;;;;;;;;
Monat;Jahr;P5;P10;P25;P50 (Median);P75;P90;P95
753;63;0.00;0.00;70114.00;549137.25;1623953.10;3596466.34;5789251.64
754;63;0.00;0.00;68908.72;540091.87;1628774.76;3658687.31;5891984.31
755;63;0.00;0.00;66682.77;548383.66;1646397.90;3709620.56;6020907.93
756;63;0.00;0.00;63497.65;541812.54;1648945.50;3775668.80;6102326.79
757;64;0.00;0.00;60226.99;533167.04;1643351.11;3750440.03;6202034.67
758;64;0.00;0.00;61131.11;543514.28;1663698.11;3782003.92;5926307.49
759;64;0.00;0.00;58059.02;537899.62;1680834.59;3816976.81;6108063.10
760;64;0.00;0.00;54608.72;535469.50;1689699.76;3814016.59;6254213.58
761;64;0.00;0.00;53526.32;541360.69;1671444.32;3790918.83;6405360.04
762;64;0.00;0.00;54179.79;539474.03;1670238.60;3854033.65;6272836.62
763;64;0.00;0.00;50565.60;545850.96;1676101.04;3754904.91;6287367.27
764;64;0.00;0.00;49821.57;541220.59;1717745.96;3804633.75;6282695.14
765;64;0.00;0.00;46134.02;542509.57;1715507.46;3765304.69;6433676.48
766;64;0.00;0.00;46474.96;529654.04;1742014.51;3779646.46;6383285.33
767;64;0.00;0.00;42890.43;532203.82;1698159.92;3819550.70;6657951.27
768;64;0.00;0.00;42143.07;528791.92;1699241.56;3816722.25;6905402.32
769;65;0.00;0.00;43310.94;533831.25;1719200.11;3867790.52;6646235.46
770;65;0.00;0.00;40463.53;537879.20;1697647.23;3868497.49;6546035.14
771;65;0.00;0.00;37007.08;538855.29;1711451.83;3861027.47;6597339.45
772;65;0.00;0.00;37175.19;549604.74;1738499.33;3928686.88;6441887.28
773;65;0.00;0.00;32864.87;539492.61;1748596.62;4021752.11;6654129.95
774;65;0.00;0.00;30616.58;535060.61;1793067.30;4033171.14;6681300.45
775;65;0.00;0.00;29397.13;528301.64;1778475.90;3919101.57;6690543.75
776;65;0.00;0.00;27999.50;533027.52;1816293.65;3962851.28;6800100.02
777;65;0.00;0.00;26241.45;535807.66;1792103.09;3934923.15;6940130.02
778;65;0.00;0.00;24858.04;535591.76;1820597.20;3885590.67;6774716.81
779;65;0.00;0.00;23164.00;537175.28;1832189.45;3876849.70;6647237.91
780;65;0.00;0.00;21481.26;538620.19;1813293.32;3903421.87;6817532.20
781;66;0.00;0.00;19518.09;537201.18;1862216.33;3995610.99;6812062.55
782;66;0.00;0.00;18286.84;544073.52;1839843.82;4094769.04;6790629.33
783;66;0.00;0.00;15970.79;531576.27;1819212.56;4051738.34;6783846.37
784;66;0.00;0.00;15043.58;530819.60;1805308.88;4106962.75;6958183.31
785;66;0.00;0.00;14550.17;526551.89;1798209.01;4097585.82;6998791.25
786;66;0.00;0.00;12679.74;525495.25;1834706.01;4105173.10;7077628.84
787;66;0.00;0.00;9601.26;526654.46;1814467.92;4167186.60;7104566.05
788;66;0.00;0.00;7820.61;531668.96;1809214.03;4154557.89;7163549.52
789;66;0.00;0.00;6112.76;525425.85;1864704.29;4124479.59;6987172.99
790;66;0.00;0.00;4631.37;538718.94;1854803.02;4102747.62;7092819.12
791;66;0.00;0.00;3778.48;540765.78;1884648.74;4011006.83;7230855.84
792;66;0.00;0.00;2990.65;531587.41;1891382.52;4161947.63;7558646.39
