Einstellung;Wert
Exportzeitpunkt;2025-12-04T09:44:36.561Z
start_savings;4000
start_etf;100
monthly_savings;100
monthly_etf;150
savings_rate_pa;3
etf_rate_pa;6
savings_target;5000
annual_raise_percent;3
savings_years;36
withdrawal_years;30
monthly_payout_net;
monthly_payout_percent;5
special_payout_net_savings;15000
special_interval_years_savings;10
special_payout_net_withdrawal;15000
special_interval_years_withdrawal;10
inflation_rate_pa;2
rent_mode;percent

Jahr;Monat;Phase;Tagesgeld;ETF;Gesamt;Gesamt (real);Rendite;Entnahme;Steuern
32;381;Anspar;5000.00;299067.59;304067.59;162149.15;1457.92;0.00;0.00
32;382;Anspar;5000.00;301160.67;306160.67;162996.12;1468.06;0.00;0.00
32;383;Anspar;5000.00;303263.93;308263.93;163845.27;1478.25;0.00;0.00
32;384;Anspar;5000.00;305377.44;310377.44;164696.60;1488.48;0.00;0.00
33;385;Anspar;5000.00;307519.98;312519.98;165560.07;1498.77;0.00;0.00
33;386;Anspar;5000.00;309672.95;314672.95;166425.76;1509.20;0.00;0.00
33;387;Anspar;5000.00;311836.40;316836.40;167293.68;1519.68;0.00;0.00
33;388;Anspar;5000.00;314010.38;319010.38;168163.83;1530.21;0.00;0.00
33;389;Anspar;5000.00;316194.94;321194.94;169036.23;1540.79;0.00;0.00
33;390;Anspar;5000.00;318390.14;323390.14;169910.88;1551.43;0.00;0.00
33;391;Anspar;5000.00;320596.02;325596.02;170787.79;1562.11;0.00;0.00
33;392;Anspar;5000.00;322812.64;327812.64;171666.98;1572.85;0.00;0.00
33;393;Anspar;5000.00;325040.05;330040.05;172548.43;1583.64;0.00;0.00
33;394;Anspar;5000.00;327278.30;332278.30;173432.18;1594.48;0.00;0.00
33;395;Anspar;5000.00;329527.45;334527.45;174318.22;1605.38;0.00;0.00
33;396;Anspar;5000.00;331787.54;336787.54;175206.56;1616.32;0.00;0.00
34;397;Anspar;5000.00;334077.95;339077.95;176107.24;1627.32;0.00;0.00
34;398;Anspar;5000.00;336379.51;341379.51;177010.25;1638.47;0.00;0.00
34;399;Anspar;5000.00;338692.27;343692.27;177915.61;1649.68;0.00;0.00
34;400;Anspar;5000.00;341016.28;346016.28;178823.32;1660.93;0.00;0.00
34;401;Anspar;5000.00;343351.61;348351.61;179733.38;1672.25;0.00;0.00
34;402;Anspar;5000.00;345698.31;350698.31;180645.82;1683.61;0.00;0.00
34;403;Anspar;5000.00;348056.43;353056.43;181560.63;1695.04;0.00;0.00
34;404;Anspar;5000.00;350426.03;355426.03;182477.83;1706.51;0.00;0.00
34;405;Anspar;5000.00;352807.16;357807.16;183397.42;1718.05;0.00;0.00
34;406;Anspar;5000.00;355199.88;360199.88;184319.42;1729.64;0.00;0.00
34;407;Anspar;5000.00;357604.25;362604.25;185243.82;1741.28;0.00;0.00
34;408;Anspar;5000.00;360020.32;365020.32;186170.64;1752.99;0.00;0.00
35;409;Anspar;5000.00;362468.04;367468.04;187110.02;1764.75;0.00;0.00
35;410;Anspar;5000.00;364927.68;369927.68;188051.86;1776.66;0.00;0.00
35;411;Anspar;5000.00;367399.29;372399.29;188996.15;1788.64;0.00;0.00
35;412;Anspar;5000.00;369882.94;374882.94;189942.92;1800.67;0.00;0.00
35;413;Anspar;5000.00;372378.67;377378.67;190892.16;1812.76;0.00;0.00
35;414;Anspar;5000.00;374886.55;379886.55;191843.90;1824.90;0.00;0.00
35;415;Anspar;5000.00;377406.64;382406.64;192798.13;1837.11;0.00;0.00
35;416;Anspar;5000.00;379938.99;384938.99;193754.86;1849.38;0.00;0.00
35;417;Anspar;5000.00;382483.67;387483.67;194714.11;1861.70;0.00;0.00
35;418;Anspar;5000.00;385040.73;390040.73;195675.89;1874.09;0.00;0.00
35;419;Anspar;5000.00;387610.25;392610.25;196640.20;1886.54;0.00;0.00
35;420;Anspar;5000.00;390192.27;395192.27;197607.05;1899.04;0.00;0.00
36;421;Anspar;5000.00;392807.35;397807.35;198586.68;1911.61;0.00;0.00
36;422;Anspar;5000.00;395435.15;400435.15;199568.88;1924.34;0.00;0.00
36;423;Anspar;5000.00;398075.75;403075.75;200553.67;1937.13;0.00;0.00
36;424;Anspar;5000.00;400729.20;405729.20;201541.06;1949.99;0.00;0.00
36;425;Anspar;5000.00;403395.57;408395.57;202531.04;1962.90;0.00;0.00
36;426;Anspar;5000.00;406074.91;411074.91;203523.65;1975.88;0.00;0.00
36;427;Anspar;5000.00;408767.30;413767.30;204518.87;1988.92;0.00;0.00
36;428;Anspar;5000.00;411472.79;416472.79;205516.73;2002.03;0.00;0.00
36;429;Anspar;5000.00;414191.45;419191.45;206517.22;2015.20;0.00;0.00
36;430;Anspar;5000.00;416923.35;421923.35;207520.37;2028.43;0.00;0.00
36;431;Anspar;5000.00;419668.54;424668.54;208526.18;2041.73;0.00;0.00
36;432;Anspar;5000.00;422427.10;427427.10;209534.66;2055.09;0.00;0.00
37;433;Entnahme;5000.00;422706.05;427706.05;209325.69;2068.52;1789.57;0.00
37;434;Entnahme;5000.00;422986.36;427986.36;209117.50;2069.87;1789.57;0.00
37;435;Entnahme;5000.00;423268.03;428268.03;208910.10;2071.24;1789.57;0.00
37;436;Entnahme;5000.00;423551.08;428551.08;208703.48;2072.61;1789.57;0.00
37;437;Entnahme;5000.00;423835.50;428835.50;208497.64;2073.99;1789.57;0.00
37;438;Entnahme;5000.00;424121.30;429121.30;208292.58;2075.37;1789.57;0.00
37;439;Entnahme;5000.00;424408.50;429408.50;208088.31;2076.76;1789.57;0.00
37;440;Entnahme;5000.00;424697.10;429697.10;207884.83;2078.16;1789.57;0.00
37;441;Entnahme;5000.00;424987.10;429987.10;207682.12;2079.57;1789.57;0.00
37;442;Entnahme;5000.00;425278.51;430278.51;207480.20;2080.98;1789.57;0.00
37;443;Entnahme;5000.00;425528.35;430528.35;207258.37;2082.40;1789.57;43.00
37;444;Entnahme;5000.00;425765.20;430765.20;207030.46;2083.61;1789.57;57.20
38;445;Entnahme;5000.00;426060.40;431060.40;206830.74;2084.76;1789.57;0.00
38;446;Entnahme;5000.00;426357.03;431357.03;206631.80;2086.20;1789.57;0.00
38;447;Entnahme;5000.00;426655.12;431655.12;206433.65;2087.65;1789.57;0.00
38;448;Entnahme;5000.00;426954.65;431954.65;206236.28;2089.10;1789.57;0.00
38;449;Entnahme;5000.00;427178.22;432178.22;206002.79;2090.55;1789.57;77.42
38;450;Entnahme;5000.00;427397.36;432397.36;205767.41;2091.64;1789.57;82.93
38;451;Entnahme;5000.00;427613.45;432613.45;205530.79;2092.71;1789.57;87.05
38;452;Entnahme;5000.00;427826.55;432826.55;205292.98;2093.76;1789.57;91.10
38;453;Entnahme;5000.00;428036.72;433036.72;205054.00;2094.80;1789.57;95.07
38;454;Entnahme;5000.00;428244.01;433244.01;204813.89;2095.82;1789.57;98.97
38;455;Entnahme;5000.00;428448.43;433448.43;204572.66;2096.83;1789.57;102.85
38;456;Entnahme;5000.00;428650.02;433650.02;204330.33;2097.83;1789.57;106.67
39;457;Entnahme;5000.00;428959.26;433959.26;204138.89;2098.81;1789.57;0.00
39;458;Entnahme;5000.00;429270.01;434270.01;203948.23;2100.31;1789.57;0.00
39;459;Entnahme;5000.00;429521.11;434521.11;203729.68;2101.82;1789.57;61.16
39;460;Entnahme;5000.00;429713.68;434713.68;203483.90;2103.05;1789.57;120.91
39;461;Entnahme;5000.00;429903.65;434903.65;203237.16;2103.98;1789.57;124.44
39;462;Entnahme;5000.00;430091.07;435091.07;202989.49;2104.91;1789.57;127.92
39;463;Entnahme;5000.00;430275.99;435275.99;202740.92;2105.82;1789.57;131.34
39;464;Entnahme;5000.00;430458.46;435458.46;202491.48;2106.72;1789.57;134.68
39;465;Entnahme;5000.00;430638.54;435638.54;202241.20;2107.61;1789.57;137.96
39;466;Entnahme;5000.00;430814.00;435814.00;201989.06;2108.49;1789.57;143.46
39;467;Entnahme;5000.00;430964.15;435964.15;201725.48;2109.34;1789.57;169.63
39;468;Entnahme;5000.00;431112.18;436112.18;201461.25;2110.07;1789.57;172.47
40;469;Entnahme;5000.00;431433.41;436433.41;201277.21;2110.79;1789.57;0.00
40;470;Entnahme;5000.00;431693.30;436693.30;201065.00;2112.36;1789.57;62.89
40;471;Entnahme;5000.00;431836.99;436836.99;200799.52;2113.62;1789.57;180.37
40;472;Entnahme;5000.00;431978.80;436978.80;200533.50;2114.32;1789.57;182.95
40;473;Entnahme;5000.00;432118.78;437118.78;200266.99;2115.01;1789.57;185.46
40;474;Entnahme;5000.00;432256.81;437256.81;199999.91;2115.69;1789.57;188.09
40;475;Entnahme;5000.00;432393.00;437393.00;199732.33;2116.36;1789.57;190.61
40;476;Entnahme;5000.00;432527.42;437527.42;199464.28;2117.03;1789.57;193.04
40;477;Entnahme;5000.00;432660.02;437660.02;199195.74;2117.68;1789.57;195.51
40;478;Entnahme;5000.00;432790.85;437790.85;198926.74;2118.33;1789.57;197.93
40;479;Entnahme;5000.00;432920.04;437920.04;198657.35;2118.96;1789.57;200.21
40;480;Entnahme;5000.00;416282.43;421282.43;190794.77;2119.59;16789.57;1967.64
41;481;Entnahme;5000.00;416531.47;421531.47;190592.78;2038.61;1789.57;0.00
41;482;Entnahme;5000.00;416643.22;421643.22;190328.96;2039.82;1789.57;138.51
41;483;Entnahme;5000.00;416673.68;421673.68;190028.87;2040.36;1789.57;220.34
41;484;Entnahme;5000.00;416702.33;421702.33;189728.43;2040.51;1789.57;222.30
41;485;Entnahme;5000.00;416729.04;421729.04;189427.59;2040.65;1789.57;224.37
41;486;Entnahme;5000.00;416753.97;421753.97;189126.43;2040.78;1789.57;226.29
41;487;Entnahme;5000.00;416777.01;421777.01;188824.90;2040.90;1789.57;228.30
41;488;Entnahme;5000.00;416798.31;421798.31;188523.08;2041.01;1789.57;230.15
41;489;Entnahme;5000.00;416817.73;421817.73;188220.89;2041.12;1789.57;232.13
41;490;Entnahme;5000.00;416835.45;421835.45;187918.44;2041.21;1789.57;233.93
41;491;Entnahme;5000.00;416851.31;421851.31;187615.64;2041.30;1789.57;235.88
41;492;Entnahme;5000.00;416865.53;421865.53;187312.60;2041.38;1789.57;237.59
42;493;Entnahme;5000.00;417117.41;422117.41;187115.40;2041.45;1789.57;0.00
42;494;Entnahme;5000.00;417189.36;422189.36;186838.72;2042.67;1789.57;181.16
42;495;Entnahme;5000.00;417200.09;422200.09;186535.39;2043.02;1789.57;242.72
42;496;Entnahme;5000.00;417209.07;422209.07;186231.78;2043.07;1789.57;244.53
42;497;Entnahme;5000.00;417216.45;422216.45;185927.96;2043.12;1789.57;246.17
42;498;Entnahme;5000.00;417222.19;422222.19;185623.92;2043.15;1789.57;247.85
42;499;Entnahme;5000.00;417226.27;422226.27;185319.64;2043.18;1789.57;249.54
42;500;Entnahme;5000.00;417228.80;422228.80;185015.18;2043.20;1789.57;251.10
42;501;Entnahme;5000.00;417229.69;422229.69;184710.50;2043.21;1789.57;252.76
42;502;Entnahme;5000.00;417229.01;422229.01;184405.65;2043.22;1789.57;254.33
42;503;Entnahme;5000.00;417226.83;422226.83;184100.64;2043.21;1789.57;255.83
42;504;Entnahme;5000.00;417223.06;422223.06;183795.44;2043.20;1789.57;257.40
43;505;Entnahme;5000.00;417476.69;422476.69;183602.61;2043.19;1789.57;0.00
43;506;Entnahme;5000.00;417514.59;422514.59;183316.32;2044.42;1789.57;216.95
43;507;Entnahme;5000.00;417507.92;422507.92;183011.17;2044.60;1789.57;261.71
43;508;Entnahme;5000.00;417499.70;422499.70;182705.86;2044.57;1789.57;263.23
43;509;Entnahme;5000.00;417490.00;422490.00;182400.41;2044.53;1789.57;264.67
43;510;Entnahme;5000.00;417478.87;422478.87;182094.86;2044.49;1789.57;266.05
43;511;Entnahme;5000.00;417466.33;422466.33;181789.22;2044.43;1789.57;267.41
43;512;Entnahme;5000.00;417452.27;422452.27;181483.43;2044.37;1789.57;268.86
43;513;Entnahme;5000.00;417436.81;422436.81;181177.56;2044.30;1789.57;270.20
43;514;Entnahme;5000.00;417419.97;422419.97;180871.62;2044.23;1789.57;271.50
43;515;Entnahme;5000.00;417401.76;422401.76;180565.60;2044.14;1789.57;272.79
43;516;Entnahme;5000.00;417382.12;422382.12;180259.49;2044.06;1789.57;274.13
44;517;Entnahme;5000.00;417636.51;422636.51;180070.66;2043.96;1789.57;0.00
44;518;Entnahme;5000.00;417644.77;422644.77;179777.26;2045.20;1789.57;247.38
44;519;Entnahme;5000.00;417622.58;422622.58;179471.41;2045.24;1789.57;277.86
44;520;Entnahme;5000.00;417599.06;422599.06;179165.51;2045.13;1789.57;279.08
44;521;Entnahme;5000.00;417574.22;422574.22;178859.58;2045.02;1789.57;280.29
44;522;Entnahme;5000.00;417548.07;422548.07;178553.62;2044.89;1789.57;281.48
44;523;Entnahme;5000.00;417520.55;422520.55;178247.60;2044.77;1789.57;282.72
44;524;Entnahme;5000.00;417491.73;422491.73;177941.55;2044.63;1789.57;283.88
44;525;Entnahme;5000.00;417456.25;422456.25;177633.24;2044.49;1789.57;290.41
44;526;Entnahme;5000.00;417409.07;422409.07;177320.54;2044.32;1789.57;301.94
44;527;Entnahme;5000.00;417360.72;422360.72;177007.90;2044.09;1789.57;302.88
44;528;Entnahme;5000.00;417311.20;422311.20;176695.32;2043.86;1789.57;303.81
45;529;Entnahme;5000.00;417565.25;422565.25;176510.09;2043.61;1789.57;0.00
45;530;Entnahme;5000.00;417519.27;422519.27;176199.88;2044.85;1789.57;301.27
45;531;Entnahme;5000.00;417467.85;422467.85;175887.94;2044.63;1789.57;306.48
45;532;Entnahme;5000.00;417415.29;422415.29;175576.08;2044.38;1789.57;307.37
45;533;Entnahme;5000.00;417361.59;422361.59;175264.30;2044.12;1789.57;308.26
45;534;Entnahme;5000.00;417306.76;422306.76;174952.60;2043.86;1789.57;309.13
45;535;Entnahme;5000.00;417250.81;422250.81;174640.98;2043.59;1789.57;309.98
45;536;Entnahme;5000.00;417193.73;422193.73;174329.46;2043.32;1789.57;310.83
45;537;Entnahme;5000.00;417135.54;422135.54;174018.02;2043.04;1789.57;311.67
45;538;Entnahme;5000.00;417076.23;422076.23;173706.68;2042.76;1789.57;312.51
45;539;Entnahme;5000.00;417015.81;422015.81;173395.44;2042.47;1789.57;313.32
45;540;Entnahme;5000.00;416954.30;421954.30;173084.30;2042.18;1789.57;314.13
46;541;Entnahme;5000.00;417202.19;422202.19;172900.43;2041.88;1789.57;4.43
46;542;Entnahme;5000.00;417140.06;422140.06;172589.94;2043.08;1789.57;315.64
46;543;Entnahme;5000.00;417076.85;422076.85;172279.56;2042.78;1789.57;316.43
46;544;Entnahme;5000.00;417012.56;422012.56;171969.30;2042.47;1789.57;317.20
46;545;Entnahme;5000.00;416947.19;421947.19;171659.15;2042.16;1789.57;317.96
46;546;Entnahme;5000.00;416880.75;421880.75;171349.13;2041.84;1789.57;318.72
46;547;Entnahme;5000.00;416813.25;421813.25;171039.22;2041.52;1789.57;319.46
46;548;Entnahme;5000.00;416744.68;421744.68;170729.45;2041.19;1789.57;320.19
46;549;Entnahme;5000.00;416675.06;421675.06;170419.80;2040.86;1789.57;320.91
46;550;Entnahme;5000.00;416604.36;421604.36;170110.28;2040.52;1789.57;321.66
46;551;Entnahme;5000.00;416532.59;421532.59;169800.88;2040.17;1789.57;322.37
46;552;Entnahme;5000.00;416459.78;421459.78;169491.62;2039.82;1789.57;323.07
47;553;Entnahme;5000.00;416697.76;421697.76;169307.70;2039.47;1789.57;11.94
47;554;Entnahme;5000.00;416624.45;421624.45;168999.15;2040.63;1789.57;324.37
47;555;Entnahme;5000.00;416550.12;421550.12;168690.75;2040.27;1789.57;325.04
47;556;Entnahme;5000.00;416474.75;421474.75;168382.49;2039.91;1789.57;325.71
47;557;Entnahme;5000.00;416398.31;421398.31;168074.37;2039.54;1789.57;326.42
47;558;Entnahme;5000.00;416320.85;421320.85;167766.39;2039.17;1789.57;327.07
47;559;Entnahme;5000.00;416242.36;421242.36;167458.57;2038.79;1789.57;327.71
47;560;Entnahme;5000.00;416162.87;421162.87;167150.90;2038.41;1789.57;328.34
47;561;Entnahme;5000.00;416082.36;421082.36;166843.40;2038.03;1789.57;328.97
47;562;Entnahme;5000.00;416000.85;421000.85;166536.05;2037.63;1789.57;329.58
47;563;Entnahme;5000.00;415918.27;420918.27;166228.84;2037.24;1789.57;330.25
47;564;Entnahme;5000.00;415834.68;420834.68;165921.80;2036.83;1789.57;330.86
48;565;Entnahme;5000.00;416063.05;421063.05;165738.11;2036.43;1789.57;18.49
48;566;Entnahme;5000.00;415979.05;420979.05;165431.82;2037.54;1789.57;331.98
48;567;Entnahme;5000.00;415894.03;420894.03;165125.69;2037.13;1789.57;332.58
48;568;Entnahme;5000.00;415807.98;420807.98;164819.72;2036.72;1789.57;333.21
48;569;Entnahme;5000.00;415720.95;420720.95;164513.92;2036.30;1789.57;333.76
48;570;Entnahme;5000.00;415632.94;420632.94;164208.31;2035.87;1789.57;334.31
48;571;Entnahme;5000.00;415543.96;420543.96;163902.87;2035.45;1789.57;334.86
48;572;Entnahme;5000.00;415453.93;420453.93;163597.59;2035.01;1789.57;335.48
48;573;Entnahme;5000.00;415362.90;420362.90;163292.48;2034.57;1789.57;336.04
48;574;Entnahme;5000.00;415270.90;420270.90;162987.55;2034.13;1789.57;336.57
48;575;Entnahme;5000.00;415177.93;420177.93;162682.81;2033.68;1789.57;337.09
48;576;Entnahme;5000.00;415083.95;420083.95;162378.25;2033.23;1789.57;337.65
49;577;Entnahme;5000.00;415302.90;420302.90;162195.00;2032.77;1789.57;24.26
49;578;Entnahme;5000.00;415208.51;420208.51;161891.20;2033.84;1789.57;338.66
49;579;Entnahme;5000.00;415113.17;420113.17;161587.59;2033.38;1789.57;339.16
49;580;Entnahme;5000.00;415016.77;420016.77;161284.14;2032.92;1789.57;339.75
49;581;Entnahme;5000.00;414919.43;419919.43;160980.89;2032.45;1789.57;340.23
49;582;Entnahme;5000.00;414821.13;419821.13;160677.83;2031.97;1789.57;340.70
49;583;Entnahme;5000.00;414721.85;419721.85;160374.96;2031.49;1789.57;341.21
49;584;Entnahme;5000.00;414621.56;419621.56;160072.27;2031.01;1789.57;341.74
49;585;Entnahme;5000.00;414520.33;419520.33;159769.78;2030.52;1789.57;342.19
49;586;Entnahme;5000.00;414418.16;419418.16;159467.49;2030.03;1789.57;342.64
49;587;Entnahme;5000.00;414314.93;419314.93;159165.37;2029.53;1789.57;343.20
49;588;Entnahme;5000.00;414210.76;419210.76;158863.45;2029.03;1789.57;343.64
50;589;Entnahme;5000.00;414420.49;419420.49;158680.86;2028.52;1789.57;29.23
50;590;Entnahme;5000.00;414315.88;419315.88;158379.71;2029.54;1789.57;344.58
50;591;Entnahme;5000.00;414210.35;419210.35;158078.77;2029.03;1789.57;345.00
50;592;Entnahme;5000.00;414103.89;419103.89;157778.04;2028.52;1789.57;345.42
50;593;Entnahme;5000.00;413996.39;418996.39;157477.48;2028.00;1789.57;345.93
50;594;Entnahme;5000.00;413887.94;418887.94;157177.13;2027.48;1789.57;346.36
50;595;Entnahme;5000.00;413778.57;418778.57;156877.00;2026.95;1789.57;346.76
50;596;Entnahme;5000.00;413668.17;418668.17;156577.04;2026.42;1789.57;347.25
50;597;Entnahme;5000.00;413556.82;418556.82;156277.29;2025.88;1789.57;347.67
50;598;Entnahme;5000.00;413444.54;418444.54;155977.76;2025.34;1789.57;348.05
50;599;Entnahme;5000.00;413331.23;418331.23;155678.41;2024.79;1789.57;348.55
50;600;Entnahme;5000.00;395265.61;400265.61;148709.83;2024.24;16789.57;3300.30
51;601;Entnahme;5000.00;395377.46;400377.46;148506.12;1936.31;1789.57;34.88
51;602;Entnahme;5000.00;395173.71;400173.71;148185.81;1936.85;1789.57;351.04
51;603;Entnahme;5000.00;394968.52;399968.52;147865.61;1935.86;1789.57;351.49
51;604;Entnahme;5000.00;394761.99;399761.99;147545.57;1934.86;1789.57;351.83
51;605;Entnahme;5000.00;394554.03;399554.03;147225.67;1933.86;1789.57;352.24
51;606;Entnahme;5000.00;394344.68;399344.68;146905.90;1932.84;1789.57;352.63
51;607;Entnahme;5000.00;394133.99;399133.99;146586.29;1931.82;1789.57;352.95
51;608;Entnahme;5000.00;393921.80;398921.80;146266.79;1930.80;1789.57;353.42
51;609;Entnahme;5000.00;393708.27;398708.27;145947.46;1929.77;1789.57;353.73
51;610;Entnahme;5000.00;393493.32;398493.32;145628.26;1928.73;1789.57;354.11
51;611;Entnahme;5000.00;393276.94;398276.94;145309.19;1927.68;1789.57;354.49
51;612;Entnahme;5000.00;393059.21;398059.21;144990.29;1926.63;1789.57;354.80
52;613;Entnahme;5000.00;393156.45;398156.45;144786.58;1925.57;1789.57;38.77
52;614;Entnahme;5000.00;392937.43;397937.43;144468.34;1926.04;1789.57;355.49
52;615;Entnahme;5000.00;392716.93;397716.93;144150.21;1924.97;1789.57;355.91
52;616;Entnahme;5000.00;392495.06;397495.06;143832.24;1923.90;1789.57;356.21
52;617;Entnahme;5000.00;392271.74;397271.74;143514.41;1922.82;1789.57;356.57
52;618;Entnahme;5000.00;392046.98;397046.98;143196.72;1921.73;1789.57;356.92
52;619;Entnahme;5000.00;391820.84;396820.84;142879.18;1920.64;1789.57;357.22
52;620;Entnahme;5000.00;391593.19;396593.19;142561.76;1919.54;1789.57;357.62
52;621;Entnahme;5000.00;391364.17;396364.17;142244.51;1918.43;1789.57;357.89
52;622;Entnahme;5000.00;391133.64;396133.64;141927.37;1917.32;1789.57;358.28
52;623;Entnahme;5000.00;390901.71;395901.71;141610.39;1916.19;1789.57;358.56
52;624;Entnahme;5000.00;390668.30;395668.30;141293.55;1915.07;1789.57;358.91
53;625;Entnahme;5000.00;390750.52;395750.52;141089.89;1913.93;1789.57;42.15
53;626;Entnahme;5000.00;390515.76;395515.76;140773.69;1914.33;1789.57;359.53
53;627;Entnahme;5000.00;390279.54;395279.54;140457.64;1913.19;1789.57;359.84
53;628;Entnahme;5000.00;390041.88;395041.88;140141.73;1912.04;1789.57;360.13
53;629;Entnahme;5000.00;389802.73;394802.73;139825.96;1910.88;1789.57;360.47
53;630;Entnahme;5000.00;389562.15;394562.15;139510.34;1909.72;1789.57;360.73
53;631;Entnahme;5000.00;389320.04;394320.04;139194.85;1908.54;1789.57;361.08
53;632;Entnahme;5000.00;389076.52;394076.52;138879.51;1907.37;1789.57;361.32
53;633;Entnahme;5000.00;388831.45;393831.45;138564.29;1906.18;1789.57;361.69
53;634;Entnahme;5000.00;388584.97;393584.97;138249.24;1904.99;1789.57;361.91
53;635;Entnahme;5000.00;388336.91;393336.91;137934.30;1903.79;1789.57;362.28
53;636;Entnahme;5000.00;388087.45;393087.45;137619.53;1902.58;1789.57;362.48
54;637;Entnahme;5000.00;388154.00;393154.00;137415.88;1901.37;1789.57;45.25
54;638;Entnahme;5000.00;387903.07;392903.07;137101.74;1901.69;1789.57;363.05
54;639;Entnahme;5000.00;387645.11;392645.11;136785.81;1900.47;1789.57;368.87
54;640;Entnahme;5000.00;387384.11;392384.11;136469.49;1899.21;1789.57;370.65
54;641;Entnahme;5000.00;387121.67;392121.67;136153.35;1897.94;1789.57;370.82
54;642;Entnahme;5000.00;386857.70;391857.70;135837.35;1896.67;1789.57;371.07
54;643;Entnahme;5000.00;386592.25;391592.25;135521.50;1895.38;1789.57;371.27
54;644;Entnahme;5000.00;386325.29;391325.29;135205.81;1894.09;1789.57;371.48
54;645;Entnahme;5000.00;386056.80;391056.80;134890.27;1892.79;1789.57;371.71
54;646;Entnahme;5000.00;385786.84;390786.84;134574.88;1891.48;1789.57;371.88
54;647;Entnahme;5000.00;385515.29;390515.29;134259.63;1890.17;1789.57;372.15
54;648;Entnahme;5000.00;385242.28;390242.28;133944.55;1888.85;1789.57;372.29
55;649;Entnahme;5000.00;385286.72;390286.72;133738.92;1887.52;1789.57;53.51
55;650;Entnahme;5000.00;385012.17;390012.17;133424.48;1887.73;1789.57;372.72
55;651;Entnahme;5000.00;384736.09;389736.09;133110.19;1886.40;1789.57;372.91
55;652;Entnahme;5000.00;384458.44;389458.44;132796.04;1885.05;1789.57;373.15
55;653;Entnahme;5000.00;384179.29;389179.29;132482.05;1883.70;1789.57;373.29
55;654;Entnahme;5000.00;383898.52;388898.52;132168.18;1882.34;1789.57;373.55
55;655;Entnahme;5000.00;383616.22;388616.22;131854.48;1880.98;1789.57;373.70
55;656;Entnahme;5000.00;383332.35;388332.35;131540.91;1879.60;1789.57;373.91
55;657;Entnahme;5000.00;383046.90;388046.90;131227.49;1878.22;1789.57;374.11
55;658;Entnahme;5000.00;382759.90;387759.90;130914.22;1876.83;1789.57;374.26
55;659;Entnahme;5000.00;382471.26;387471.26;130601.07;1875.43;1789.57;374.52
55;660;Entnahme;5000.00;382181.07;387181.07;130288.08;1874.03;1789.57;374.65
56;661;Entnahme;5000.00;382208.65;387208.65;130082.51;1872.62;1789.57;55.48
56;662;Entnahme;5000.00;381916.78;386916.78;129770.14;1872.75;1789.57;375.05
56;663;Entnahme;5000.00;381623.37;386623.37;129457.92;1871.33;1789.57;375.18
56;664;Entnahme;5000.00;381328.28;386328.28;129145.81;1869.90;1789.57;375.43
56;665;Entnahme;5000.00;381031.61;386031.61;128833.86;1868.47;1789.57;375.57
56;666;Entnahme;5000.00;380733.32;385733.32;128522.04;1867.02;1789.57;375.75
56;667;Entnahme;5000.00;380433.37;385433.37;128210.35;1865.57;1789.57;375.95
56;668;Entnahme;5000.00;380131.84;385131.84;127898.82;1864.11;1789.57;376.08
56;669;Entnahme;5000.00;379828.61;384828.61;127587.40;1862.64;1789.57;376.31
56;670;Entnahme;5000.00;379523.76;384523.76;127276.12;1861.17;1789.57;376.45
56;671;Entnahme;5000.00;379217.27;384217.27;126964.98;1859.68;1789.57;376.60
56;672;Entnahme;5000.00;378909.07;383909.07;126653.95;1858.19;1789.57;376.82
57;673;Entnahme;5000.00;378918.94;383918.94;126448.37;1856.69;1789.57;57.26
57;674;Entnahme;5000.00;378609.00;383609.00;126137.96;1856.74;1789.57;377.11
57;675;Entnahme;5000.00;378297.35;383297.35;125827.67;1855.23;1789.57;377.31
57;676;Entnahme;5000.00;377984.07;382984.07;125517.52;1853.71;1789.57;377.43
57;677;Entnahme;5000.00;377669.06;382669.06;125207.50;1852.19;1789.57;377.63
57;678;Entnahme;5000.00;377352.37;382352.37;124897.60;1850.65;1789.57;377.79
57;679;Entnahme;5000.00;377034.01;382034.01;124587.83;1849.11;1789.57;377.91
57;680;Entnahme;5000.00;376713.88;381713.88;124278.18;1847.56;1789.57;378.12
57;681;Entnahme;5000.00;376392.06;381392.06;123968.66;1846.01;1789.57;378.26
57;682;Entnahme;5000.00;376068.56;381068.56;123659.27;1844.44;1789.57;378.38
57;683;Entnahme;5000.00;375743.26;380743.26;123349.99;1842.86;1789.57;378.60
57;684;Entnahme;5000.00;375416.26;380416.26;123040.84;1841.28;1789.57;378.72
58;685;Entnahme;5000.00;375407.52;380407.52;122835.14;1839.69;1789.57;58.86
58;686;Entnahme;5000.00;375078.55;380078.55;122526.55;1839.65;1789.57;379.06
58;687;Entnahme;5000.00;374747.86;379747.86;122218.09;1838.05;1789.57;379.17
58;688;Entnahme;5000.00;374415.43;379415.43;121909.76;1836.44;1789.57;379.29
58;689;Entnahme;5000.00;374081.19;379081.19;121601.53;1834.82;1789.57;379.50
58;690;Entnahme;5000.00;373745.20;378745.20;121293.43;1833.19;1789.57;379.61
58;691;Entnahme;5000.00;373407.45;378407.45;120985.44;1831.56;1789.57;379.74
58;692;Entnahme;5000.00;373067.85;378067.85;120677.56;1829.91;1789.57;379.94
58;693;Entnahme;5000.00;372726.50;377726.50;120369.80;1828.26;1789.57;380.04
58;694;Entnahme;5000.00;372383.36;377383.36;120062.16;1826.60;1789.57;380.18
